Codice          |Cod.commerciale   |Descrizione                             |Costruttore |Descrizione supplementare

HHSCH0_EB229    |2711C-T6T         |PANELVIEW C600 TOUCH 24VDC - COLOR TFT  |ALLEN BRADLE|

HHSCH0_EB230    |NB7W-TW01B        |PANNELLO OPERATORE TOUCH-SCREEN 7"      |OMRON       |A COLORI

HHSCH0_EB231    |AN401PLUSD0BI1O2  |STRUMENTO PER CELLA CARICO 546QDT       |S2 TECH     |CON USCITA ANALOGICA 0-10V

HHSCH0_EB232    |RDR-805W1AKU-RA   |LETTORE TAG RFID PCPROX PLUS            |RFIDEAS     |PER HMI AB PANEL VIEW

HHSCH0_EB233    |6181F-12TPW7      |PANEL PC 1200P 12.1"                    |ALLEN BRADLE|

HHSCH0_EB234    |9701-VWMR015AENE  |RUNTIME PANEL PC 1200P                  |ALLEN BRADLE|LICENZA RUNTIME

HHSCH0_EB235    |906-3921          |KIT SOC FPGA CYCLONE V ALTERA           |R.S.        |CODICE COSTRUTTORE DK-DEV-5CSXC6N

HHSCH0_EB236    |2891002           |SWITCH ETHERNET IND. 8 PORTE UNMANAGED  |PHOENIX CONT|TIPO SFNB8TX - MONTAGGIO SU GUIDA DIN

HHSCH0_EB237    |2891064           |SWITCH ETHERNET IND. 4 PORTE POE        |PHOENIX CONT|24VDC - IP20 - MONTAGGIO SU GUIDA DIN

HHSCH0_EB238    |CFF6A             |SCHEDA DI COMANDO PER VIBRATORI         |BROVIND     |CERTIFICATA UL-CSA

HHSCH0_EB239    |PFXGP4201TAD      |PANNELLO OPERAT. TOUCH SCREEN 3.8" ETH. |PROFACE     |SOSTITUISCE HHSCH0_EB080

HHSCH0_EB240    |PTVO6AX04N        |SCHEDA DI COMANDO VIBRATORE 230V 50HZ   |TECNOVIBRAZI|CON SONDA DI RETROAZIONE

HHSCH0_EB241    |6GK5008-0BA00-1AB2|SWITCH ETHERNET 8PORTE UNMANAGED        |SIEMENS     |FAMIGLIA SCALANCE

HHSCH0_EB242    |+EX710MXXXX       |PANEL PLC 10.1'' 4CORE CORTEX A9 1GB RAM|EXORINT     |LICENZA CODESYS3 INCLUSA

HHSCH0_EB243    |+EX715U5P1        |PANEL PLC 15.6'' 4CORE CORTEX A9 2GB RAM|EXORINT     |LICENZA CODESYS3 INCLUSA

HHSCH0_EB244    |+EX721U5P1        |PANEL PLC 21.5'' 4CORE CORTEX A9 2GB RAM|EXORINT     |LICENZA CODESYS3 INCLUSA

HHSCH0_EB245    |MC03800030-D      |SCHEDA DI COMANDO PER VIBRATORI         |PESCE       |TENSIONE ALIMENTAZIONE 200-290VAC
HHSCH0_TA001    |SE1129            |VPN ROUTER SE1129 WAN/LAN/RS232         |SECOMEA     |TELEASSISTENZA REMOTA TRAMITE VPN

HHSCH0_TA002    |SE50UNTS          |USB KEY UMTS PER ROUTER SE1029          |SECOMEA     |

HHSCH0_TA003    |SEWF1031          |TELECAMERA WI-FI PORTATILE              |DIREL       |CON CARICABATTERIE E SUPPORTO

HHSCH0_TA004    |SEAPIN150         |ACCESS POINT PER TELECAMERA WI-FI       |DIREL       |CON ALIMENTATORE B/DIN 220/5

HHSCH0_TA005    |CBLRWE231I020     |WIRELESS PORT ADAPTER 2.4GHZ            |CONNECTBLUE |

HHSCH0_TA006    |AXM1011           |TELECAMERA IP FISSA                     |AXIS        |CON ALIMENTATORE E SUPPORTO

HHSCH0_TA007    |HI.NL.50.MPI      |GATEWAY PROFIBUS-MPI ETHERNET           |HILSCHER    |

HHSCH0_TA008    |SE056WIFI         |CLIENT WIFI ON USB                      |SECOMEA     |ACCESSORIO PER VPN ROUTER SU PORTA UPLINK2

HHSCH0_USB01    |EX-WINGP-PCAT     |RUNTIME HMI GP-PRO EX PER IPC           |PROFACE     |LICENZA RUNTIME SU CHIAVE USB

HHSCH1_EB001    |700-884-MPI21     |GATEWAY PROFIBUS-HPI/ETHERNET           |HELMHOLZ    |

HHSCH1_EB002    |MD-CC405-000      |CAVO USB-RS422/485 M12M/DB9             |SERVOTECNICA|PROGRAMMAZIONE PER HHMTS0_M0106

HHSELE_IL001    |350-210           |DEVIATORE A LEVETTA DA PANNELLO         |R.S.        | CON TERMINALI FASTON

HHSELE_SA001    |800ES-KM2Z3       |SELETTORE 2 POSIZIONI A CHIAVE          |ALLEN BRADLE|

HHSELE_SA002    |800ES-KR3R5       |SELETTORE 2 POS.FISSE +1 POS.A MOLLA    |ALLEN BRADLE|

HHSELE_SA003    |P9MSCD0A38        |SELETTORE CON CHIAVE BLU                |CEMA        |

HHSELE_SA004    |3SB3000-4AD01     |SELETTORE A CHIAVE 2 POSIZIONI          |SIEMENS     |

HHSELE_SA005    |3SB-1000-2AB20    |SELETTORE 2 POSIZIONI                   |SIEMENS     |

HHSELE_SA006    |3SB-1000-2GB20    |SELETTORE 3 POSIZIONI                   |SIEMENS     |

HHSELE_SA007    |XB2-BG21          |SELETTORE A CHIAVE A DUE POSIZIONI      |TELEMECANIQU|

HHSELE_SA008    |XB2-BD33          |SELETTORE 3 POS.FISSE                   |TELEMECANIQU|

HHSELE_SA009    |XB2-BD21          |SELETTORE 2 POSIZIONI                   |TELEMECANIQU|

HHSELE_SA010    |XB2-BD73          |SELETTORE 2 POS.FISSE-1 POS.MOLLA       |TELEMECANIQU|

HHSELE_SA011    |ZB2-BK123         |SELETTORE LUMINOSO VERDE CONT. N.O.     |TELEMECANIQU|

HHSELE_SA012    |216867            |TESTA PER SELETTORE 2 POSIZIONI FISSE   |MOELLER     |M22-WRK

HHSELE_SA013    |216887            |TESTA PER SELETTORE A CHIAVE 2 POS.FISSE|MOELLER     |M22-WRS

HHSELE_SA020    |ZB2-BD2           |TESTA PER SELETTORE 2 POS. FISSE        |TELEMECANIQU|

HHSELE_SA021    |ZB2-BD3           |TESTA PER SELETTORE 3 POS. FISSE        |TELEMECANIQU|

HHSELE_SA022    |ZB2-BD7           |TESTA PER SELETT. 3 POS.CON 1 RIT.MOLLA |TELEMECANIQU|

HHSELE_SA023    |ZB2-BJ5           |TESTA PER SELETT. 3 POS.CON 2 RIT.MOLLA |TELEMECANIQU|

HHSELE_SA024    |ZB2-BK123         |TESTA PER SELETTORE LUMINOSO VERDE      |TELEMECANIQU|

HHSELE_SA025    |ZB2-BK124         |TESTA PER SELETTORE LUMINOSO ROSSO      |TELEMECANIQU|

HHSELE_SA026    |ZB2-BG2           |TESTA PER SELETTORE A CHIAVE            |TELEMECANIQU|

HHSELE_SA027    |ZB4-BD2           |TESTA PER SELETTORE 2 POS. FISSE        |SCHNEIDER   |

HHSELE_SA028    |ZB4-BD3           |TESTA PER SELETTORE 3 POS. FISSE        |SCHNEIDER   |

HHSELE_SA029    |ZB4-BD7           |TESTA PER SLETT. 3 POS. CON 1 RIT. MOLLA|SCHNEIDER   |

HHSELE_SA030    |ZB4-BK1233        |TESTA PER SELETTORE LUMINOSO VERDE      |SCHNEIDER   |

HHSELE_SA031    |ZB4-BK1243        |TESTA PER SELETTORE LUMINOSO ROSSO      |SCHNEIDER   |

HHSELE_SA032    |ZB4-BG2           |TESTA PER SELETTORE A CHIAVE 2 POS.     |SCHNEIDER   |

HHSELE_SA033    |800ES-SM223LX10   |SELETTORE A DUE POSIZIONI-CONTATTO N.O. |ALLEN BRADLE|

HHSELE_SA034    |ZB4-BG2F034       |TESTA PER SLETTORE CON CHIAVE ROSSA     |SCHNEIDER   |

HHSELE_SA035    |ZB4-BG2F022       |TESTA PER SELETTORE CON CHIAVE NERA     |SCHNEIDER   |

HHSELE_SA036    |ZB4-BG2F015       |TESTA PER SELETTORE CON CHIAVE GIALLA   |SCHNEIDER   |

HHSELE_SA037    |ZB4-BG2F046       |TESTA PER SELETTORE CON CHIAVE AZZURRA  |SCHNEIDER   |

HHSELE_SA038    |ZB4-BD5           |TESTA PER SELETT.3 POS. CON 2 RIT. MOLLA|SCHNEIDER   |

HHSELE_SA040    |3SB30002KA11      |SELETTORE 2 POSIZIONI FISSE             |SIEMENS     |

HHSELE_SA041    |800FM-SM22        |SELETTORE 2 POSIZIONI FISSE             |ALLEN BRADLE|

HHSELE_SA042    |800FM-KM21        |SELETTORE 2 POSIZIONI A CHIAVE          |ALLEN BRADLE|

HHSELE_SA043    |3SB3000-3AG01     |TESTA PER SELETTORE CON CHIAVE BLU      |SIEMENS     |

HHSELE_SA044    |3SB3000-3AJ01     |TESTA PER SELETTORE CON CHIAVE NERA     |SIEMENS     |

HHSELE_SA045    |ZBG-455           |CHIAVE PER SELETTORE                    |TELEMECANIQU|

HHSELE_SA046    |216887            |TESTA PER SELETTORE A CHIAVE 2 POS.     |MOELLER     |

HHSELE_SA047    |800FM-SB32        |TESTA PER SELETT.3 POS. CON 2 RIT. MOLLA|ALLEN BRADLE|

HHSELE_SA048    |800FM-KR35        |TESTA PER SELETT.3 POS. CON 1 RIT. MOLLA|ALLEN BRADLE|A CHIAVE

HHSELE_SA049    |800FP-KM21        |SELETTORE 2 POSIZIONI A CHIAVE          |ALLEN BRADLE|CORPO PLASTICO

HHSELE_SA050    |800FM-SM32        |SELETTORE 3 POSIZIONI FISSE             |ALLEN BRADLE|

HHSELE_SA051    |216874            |SELETTORE 2 POSIZIONI FISSE             |MOELLER     |M22-WKW

HHSELE_SA052    |216872            |TESTA PER SELETT.3 POS. CON 2 RIT. MOLLA|MOELLER     |M22-WRK3

HHSENS_BQ001    |PMI360-F110-IU-V1 |SENSORE MAGNETICO DI POSIZIONE          |PEPPERL+FUCH|CON USCITA ANALOGICA IN CORRENTE E TENSIONE

HHSENS_BQ002    |BT-F110-W         |TESTIMONE PER SENSORE MAGN.DI POSIZIONE |PEPPERL+FUCH|

HHSENS_BQ003    |EHK-0270M         |SENSORE DI POSIZIONE                    |MTS SENSOR  |COD. CP11012 EHK-0270M-D34-1-A01 CORSA 270MM USCITA ANALOGICA 4-20MA

HHSENS_BQ004    |OD33 201-542-2    |TESTIMONE PER SENSORE DI POSIZIONE      |MTS SENSOR  |

HHSENS_BQ005    |RH-M-0060M        |TRASDUTTORE LINEARE DI POSIZIONE        |MTS SENSOR  |COD. RH-M-0060M-D63-1-P102 ZONA DI RILEVAMENTO 60MM

HHSENS_BQ006    |ST CO 9131 D06 PG9|CONNETTORE 6 POLI FEMMINA               |MTS SENSOR  |COD. ST-C091-31D006-101-2-U 

HHSENS_BQ007    |ST CO 9131 H06 PG9|CONNETTORE 6 POLI MASCHIO               |MTS SENSOR  | 

HHSENS_BQ008    |ST AO 9131 H06    |CONNETT. CON RESISTENZA DI TERMINAZIONE |MTS SENSOR  |

HHSENS_BQ009    |RH-M-0060M-A21    |TRASDUTTORE LINEARE DI POSIZIONE        |MTS SENSOR  |COD. RH-M-0060M-D60-1-A21 ZONA DI RILEVAMENTO 60MM USCITA 0-20MA

HHSENS_BQ010    |RH-M-0300M-D58    |TRASDUTTORE LINEARE DI POSIZIONE        |MTS SENSOR  |COD. RH-M-0300M-D58-1-U401 ZONA DI RILEVAMENTO 300MM PROFINET

HHSENS_BQ011    |RH-M-0300M-D56    |TRASDUTTORE LINEARE DI POSIZIONE        |MTS SENSOR  |COD. RH-M-0300M-D56-1-N101 ZONA DI RILEVAMENTO 300MM ETHERNET IP

HHSENS_BQ012    |RH-M-0400M-D56    |TRASDUTTORE LINEARE DI POSIZIONE        |MTS SENSOR  |COD. RH-M-0400M-D56-1-N101 ZONA DI RILEVAMENTO 400MM ETHERNET IP

HHSENS_BQ013    |1073781           |SENSORE DI INCLINAZIONE                 |SICK        |COD. TMM55E-PMH045 - USCITA ANALOGICA 4-20MA

HHSENS_BQ014    |Z90018300649      |SENSORE DI INCLINAZIONE                 |ELAP        |COD. SST20-01-P1-05-G19 - USCITA ANALOGICA 4-20MA

HHSENS_BQ015    |BTL19KM           |TRASDUTTORE LINEARE DI POSIZIONE        |BALLUFF     |COD. BTL5-S174-M0385-S-SA346-K30 ZONA DI RILEVAMENTO 385MM INTERFACCIA SSI

HHSENS_BQ016    |BTL-P1013-4R-PA   |TESTIMONE PER SENSORE MAGN.DI POSIZIONE |BALLUFF     |PER HHSENS_BQ016

HHSENS_SC001    |TQ95              |SENSORE DI COPPIASENSIBILITA 2 MV/V-    |PETRA       |

HHSENS_SC002    |546 QDT-1000KG    |CELLA DI CARICO IN ACCIAIO 0-1000KG     |S2 TECH     |

HHSENS_SC003    |APCU400           |CELLA DI CARICO IN INOX 20KN            |PAVONE      |MODELLO CVF - PROTEZIONE IP65

HHSENS_SC004    |86-2112-5005      |SENSORE DI COPPIA TORCENTE              |BURSTER     |12-28VDC CON USCITA ANALOGICA +-5V 5NM - CODICE ARTICOLO 101840

HHSENS_SC005    |86-2112-R-5005    |SENSORE DI COPPIA TORCENTE              |BURSTER     |12-28VDC CON USCITA ANALOGICA +-5V 5NM - CODICE ARTICOLO 108683

HHSENS_SC006    |86-2112-R-5005    |SENSORE DI COPPIA TORCENTE CONN. 12P    |BURSTER     |12-28VDC CON USCITA ANALOGICA +-5V 5NM - CODICE ARTICOLO 108683

HHSENS_SC007    |BC304             |CELLA DI CARICO IN ACCIAIO 0-1000KG     |S2 TECH     |SERIE MINIATURIZZATA

HHSENS_SC008    |8526+9236         |CELLA CARICO 1KN + AMPL IP67 0-10V      |BURSTER     |COMPOSTO DA, CELLA:8526-6001 AMPLIFICATORE:9236-V000 CERTIFICAZIONE:9236-ABG 

HHSENS_SC009    |8526+9236         |CELLA CARICO 5KN + AMPL IP67 0-10V      |BURSTER     |COMPOSTO DA, CELLA:8526-6005 AMPLIFICATORE:9236-V000 CERTIFICAZIONE:9236-ABG                
HHSENS_SC010    |                  |CELLA TORQUE E LOAD                     |DANETECH    |CZ MAX 23NM/FZ 13KN

HHSENS_SC011    |                  |AMPLIFICATORE BIDIREZIONALE SGA         |DANETECH    |USCITA +12/-8MA

HHSENS_SC012    |8661-5005-V1000   |SENSORE COPPIA TORCENTE 5NM             |BURSTER     |ALBERO ROTANTE

HHSENS_SL001    |LM2GTPA150        |LIVELLOSTATO ELETTROMAGNETICO IN PVC    |ELETTROTEC  |CON CONTATTO IN SCAMBIO LUNGHEZZA ASTA 150MM

HHSENS_SL002    |LM2GTPA275        |LIVELLOSTATO ELETTROMAGNETICO IN PVC    |ELETTROTEC  |CON CONTATTO IN SCAMBIO LUNGHEZZA ASTA 275MM

HHSENS_SL003    |PLC 1131          |SENSORE ANALOGICO RAGGI UVC             |OPSYTEC     |

HHSENS_SL004    |920310            |CAVO PER SENSORE HHSENS_SL003           |OPSYTEC     |

HHSENS_SQ001    |DCA12/5309KS      |SENS.DI PROSSIMITA PNP 24VDC M12        |BDC         |

HHSENS_SQ002    |DCA18/5309KS      |SENS.DI PROSSIMITA PNP 24VDC M18        |BDC         |

HHSENS_SQ003    |NULL 3RX-1512     |CONNETT.PER SENS.CAVO(GIA'HHSENS_SQ003) |SIEMENS     |

HHSENS_SQ004    |HS-2-PG11         |FINECORSA DI SICUR.A CAMME 2 CONT.      |GUARDMASTER |

HHSENS_SQ005    |22 003            |FINECORSA A CAMME 1 N.O. + 1 N.C.       |GUARDMASTER |

HHSENS_SQ006    |TLS-1-PG13,5      |FINECORSA CON BOBINA DI SGANCIO         |GUARDMASTER |

HHSENS_SQ008    |IG5605-IGA3008    |SENSORE DI PROSSIMITA  IN INOX 24VDC    |IFM         |

HHSENS_SQ010    |ZCQ-2255          |FINECORSA A ROTELLA - 1 CONT.SCAMBIO    |OMRON       |

HHSENS_SQ011    |TL-X5F1-E1        |SENS.DI PROSSIMITA PNP-N.O.24VDC M18    |OMRON       |

HHSENS_SQ012    |E2E-X1R5Y1-G      |SENS.DI PROSSIMITA N.O.24VAC M8         |OMRON       |

HHSENS_SQ013    |E2F-X1R5Y1        |SENS.DI PROSSIMITA M8 24VAC NO          |OMRON       |

HHSENS_SQ014    |D2JW-011-MD       |FINECORSA MINIATURA 1 CONT. SCAMBIO     |OMRON       |

HHSENS_SQ015    |D4B-1170N         |FINECORSA A PULSANTE                    |OMRON       |

HHSENS_SQ016    |D-A73             |FINECORSA MAGNETICI MULTITENSIONE       |S.M.C.      |

HHSENS_SQ017    |3RG1614-0AC00     |SENSORE INDUTTIVO BERO 10-65 VDC PNP    |SIEMENS     |

HHSENS_SQ018    |ZCK-D05           |TESTINA MOVIMENTO ANGOLARE              |TELEMECANIQU|

HHSENS_SQ019    |XS6-18B1MAL2      |SENSORE DI PROSSIMITA MULTITENS.N.O.    |TELEMECANIQU|

HHSENS_SQ020    |XS6-18B1MBL2      |SENSORE DI PROSSIMITA MULTITENS.N.C     |TELEMECANIQU|

HHSENS_SQ021    |XS1-N12NA340      |SENSORE DI PROSSIMITA NPN               |TELEMECANIQU|

HHSENS_SQ022    |XS1-N18PA349      |SENSORE DI PROSSIMITA PNP               |TELEMECANIQU|

HHSENS_SQ023    |XCK-M110          |FINECORSA A PULSANTE 1 N.C.+ 1 N.O.     |TELEMECANIQU|

HHSENS_SQ024    |XCM-A1022         |FINECORSA A ROTELLA 1 N.C. + 1 N.O.     |TELEMECANIQU|SOSTITUITO DA HHSENS_SQ149 + HHSENS_SQ150

HHSENS_SQ025    |ZCK-M1            |CORPO PER TESTINE                       |TELEMECANIQU|

HHSENS_SQ026    |D4B-1117N         |FINECORSA ROTATIVO AD ASTA RIGIDA       |OMRON       |

HHSENS_SQ027    |D4B-1171          |FINECORSA A ROTELLA                     |OMRON       |

HHSENS_SQ028    |E2A-M18KS08M1B1S  |PROXIMITY 24VDC A CONNETTORE M18        |OMRON       |

HHSENS_SQ029    |E2A-M08KS02-M1-B1 |PROXIMITY 24VDC A CONNETTORE M8         |OMRON       |

HHSENS_SQ030    |E2A-M18KS08W-PB1  |PROXIMITY 24VDC PNP NO M18              |OMRON       |

HHSENS_SQ031    |TL-X2C1-GE M8     |PROXIMITY NPN M8                        |OMRON       |

HHSENS_SQ032    |E2K-C25-MF2       |PROXIMITY CAPACITIVO NC                 |OMRON       |

HHSENS_SQ033    |E2K-C25-MF1       |PROXIMITY CAPACITIVO NO                 |OMRON       |

HHSENS_SQ034    |E2E-X5Y1          |PROXIMITY NO 24/240VAC                  |OMRON       |

HHSENS_SQ036    |E2EG-X1R5B1       |PROXIMITY 24VDC M8                      |OMRON       |

HHSENS_SQ037    |XCK-M106          |FINECORSA CON ASTA FLESS. A MOLLA       |TELEMECANIQU|

HHSENS_SQ038    |ZCK-D06           |TESTINA CON ASTA FLESSIBILE A MOLLA     |TELEMECANIQU|

HHSENS_SQ039    |ZCK-D10           |TESTINA A PULSANTE                      |TELEMECANIQU|

HHSENS_SQ041    |ZCK-Y55           |ASTA CILINDRICA IN FIBRA DI VETRO       |TELEMECANIQU|

HHSENS_SQ042    |XS1-M18PA370      |PROXIMITY M18 24VDC                     |TELEMECANIQU|

HHSENS_SQ043    |XS1-M18PB370      |PROXIMITY M18 24VDC                     |TELEMECANIQU|

HHSENS_SQ044    |BES 516-105-SA1-05|PROXIMITY M18 PER VAPORE 24VDC          |BALLUFF     |

HHSENS_SQ045    |BES 516-326-E4Y-03|PROXIMITY M18 CORTI 24VDC               |BALLUFF     |

HHSENS_SQ046    |BES 516-420-E4L-05|PROXIMITY M18 LUNGHI 24VAC              |BALLUFF     |

HHSENS_SQ047    |BES 516-326-E4Y-PU|PROXIMITY M18 CORTI 24VDC               |BALLUFF     |

HHSENS_SQ048    |E4B-LS70F4        |SENSORE A ULTRASUONI 12/24VDC           |OMRON       |

HHSENS_SQ049    |ZCK-D59           |ASTA CILINDRICA CON TESTINA 90 GRADI    |TELEMECANIQU|

HHSENS_SQ051    |BES516-325-SA19-03|PROXIMITY M8 LUNGO 24VDC                |BALLUFF     |

HHSENS_SQ052    |TL-X1R5B1-GE      |PROXIMITY M8 PNP                        |OMRON       |

HHSENS_SQ053    |AT4/11-1/I/RS     |FINECORSA A ROTELLA IP65                |MOELLER     |

HHSENS_SQ054    |3RG4013-OAG33     |PROXIMITY M18 CORTO 24VDC               |SIEMENS     |

HHSENS_SQ055    |3RG4013-OKB00     |PROXIMITY M18 LUNGO 24VAC               |SIEMENS     |

HHSENS_SQ056    |BES 516-324-E4-C03|PROXIMITY M8 24VDC                      |BALLUFF     |

HHSENS_SQ057    |WZA-11U           |FINECORSA DI SICUREZZA NO+NC            |KRONEMBERG  |

HHSENS_SQ058    |D4B-1116N         |FINECORSA ROTELLA A BRACCIO REG.        |OMRON       |

HHSENS_SQ059    |AZ 16-02 ZVRK     |FINECORSA A CHIAVE NC+NC                |SCHMERSAL   |

HHSENS_SQ060    |BES 516-324-E0-C03|PROXIMITY M8 24VDC                      |BALLUFF     |

HHSENS_SQ061    |BES 516-105-B0-C03|PROXIMITY M18 24VDC LUNGHO              |BALLUFF     |

HHSENS_SQ062    |IG5521 IGB3005BPKG|PROXIMITY M8 24VDC CORTO                |IFM         |

HHSENS_SQ063    |SL1-A             |FINECORSA A ROTELLA                     |HONEYWELL   |

HHSENS_SQ064    |46701 NI2-G08KAP6X|PROXIMTY M8 PNP                         |TURCK       |

HHSENS_SQ065    |XCS PR1587325001  |FINECORSA DI SICUREZZA A CAMME          |TELEMECANIQU|

HHSENS_SQ066    |BES 516-211-E4-E03|PROXIMITY M18 20/250VAC/DC              |BALLUFF     |

HHSENS_SQ067    |BI5-G18-Y1        |PROXIMTY EX M18 NAMUR                   |TURCK       |

HHSENS_SQ068    |MK1-22P-EX0/24VDC |BARRIERA INTRINSECA 2 CAN.X SENSORI     |BANNER      |

HHSENS_SQ069    |MK72-S04-EX       |BARRIERA X ELETTOVALVOLE                |BANNER      |

HHSENS_SQ070    |E2EG-X2B1         |PROXIMITY PNP M12 N.O.                  |OMRON       | 

HHSENS_SQ071    |22004             |FINECORSA A CAMME 2 N.C.                |GUARDMASTER |

HHSENS_SQ072    |E-A2TMU/4AP/AT    |PROXIMITY M18 PER VAPORE 100ØC MAX      |SAIET       |

HHSENS_SQ073    |E-A1TMU/4AP/AT    |PROXIMITY M12 PER VAPORE 100ØC MAX      |SAIET       |

HHSENS_SQ074    |D5B-1513          |INTERRUTTORE TATTILE AD ASTA            |OMRON       |

HHSENS_SQ075    |E2EG-X10B1        |PROXIMITY PNP M30 N.O.                  |OMRON       |   

HHSENS_SQ076    |XS3-P18PA340D     |PROXIMITY PLASTICA A CONN. PNP M18 N.O. |TELEMECANIQU|

HHSENS_SQ077    |XS1-N08PA349S     |PROXIMITY PNP M8 N.O.                   |TELEMECANIQU|

HHSENS_SQ078    |XZC-P0266L2       |CAVO A CONNETTORE IP65 M8 2M            |TELEMECANIQU|

HHSENS_SQ079    |XSZ-P1241L2       |CAVO A CONNETTORE IP67 M18 2M           |TELEMECANIQU|

HHSENS_SQ080    |XCMD2102M12       |FINECORSA A ROTELLA 1 N.O.+ 1 N.C.      |TELEMECANIQU|

HHSENS_SQ081    |NBB8-18GM50-E2V1  |SENSORE DI PROSSIMITA` M18 A CONNETTORE |PEPPERL & FU|

HHSENS_SQ082    |IC 5005           |SENSORE DI PROSSIMITA` PIATTO 40MM      |IFM         |

HHSENS_SQ083    |NBN8-18GM50-E2-V1 |SENS.DI PROSSIMITA`M18 CONN. NON SCHERM.|PEPPERL & FU|

HHSENS_SQ084    |E2EG-X10B1-M1     |SENSORE DI PROSSIMITA'PNP M30 N.O. CONN.|OMRON       |

HHSENS_SQ085    |XS4-P18PA340D     |PROX. PLAST. M18 PNP N.O.CONN.MONT.SPORG|TELEMECANIQU|

HHSENS_SQ086    |XS5-18B1PAM12     |SENSORE DI PROSS.M18 PNP CONNETTORE M12 |TELEMECANIQU|

HHSENS_SQ087    |871TM-BH4N12-R3   |INTERR. DI PROSSIMITA`M12 AC/DC 2 FILI  |ALLEN BRADLE|

HHSENS_SQ088    |ZE-Q22-2G         |FINECORSA A PULSANTE USCITA A PRESSACAVO|OMRON       |

HHSENS_SQ089    |872C-DH5NP18D4    |SENSORE DI PROSSIMITA`M18 PNP A CONNETT.|ALLEN BRADLE|

HHSENS_SQ090    |XZC-P0266L5       |CAVO A CONNETTORE IP65 M12 5 METRI      |TELEMECANIQU|

HHSENS_SQ091    |XZC-P0266L10      |CAVO A CONNETTORE IP65 M8 10 METRI      |TELEMECANIQU|

HHSENS_SQ092    |36036             |FINEC.A CHIAVE 2N.C.+1N.O.CON BOB.24VDC |GUARDMASTER |

HHSENS_SQ093    |XSD-H607339       |SENS.DI PROSSIMITA`60MM - PNP - QUADRO  |TELEMECANIQU|

HHSENS_SQ094    |IG5555            |SENS.DI PROSSIMITA`M18 DC PNP CONN. M12 |IFM         |

HHSENS_SQ095    |ZCK-D02           |TESTINA A ROTELLA PER FINECORSA         |TELEMECANIQU|

HHSENS_SQ096    |NCB 5-18GM40-N0-V1|SENSORE DI PROSSIMITA`M18 NAMUR         |PEPPERL & FU|

HHSENS_SQ097    |3RG4013-2AB00     |PROXIMITY M18 LUNGO 24V CON CONNETTORE  |SIEMENS     |

HHSENS_SQ098    |02038 FERROGUARD  |INT.MAGNETICO CAVO 6MT CON ATTUATORE    |GUARDMASTER |

HHSENS_SQ099    |XS1-N18PA340L2    |SENSORE DI PROSS.M18 PNP CAVO 10 METRI  |TELEMECANIQU|

HHSENS_SQ100    |XS6-18B1MAU20     |SENSORE DI PROSS.CONN.M12 MULTITENS.N.O.|TELEMECANIQU|

HHSENS_SQ101    |XS6-18B1MBU20     |SENSORE DI PROSS.CONN.M12 MULTITENS.N.C.|TELEMECANIQU|

HHSENS_SQ102    |NJ5-18GKN         |SENSORE DI PROSSIMITA`M18 NAMUR         |PEPPERL & FU|

HHSENS_SQ103    |AZ 16 ZVRK        |FINECORSA A CHIAVE NO+NC                |SCHMERSAL   |

HHSENS_SQ104    |IGS205            |SENSORE DI PROSSIMITA'24VDC PNP CONN.M12|IFM         |

HHSENS_SQ105    |BI5-M18-Y1XH1141  |SENS.DI PROSSIMITA' NAMUR CONNETT.M12   |TURCK       |

HHSENS_SQ106    |152742            |FINECORSA PER CILINDRI SMT0-4U-PS-LED-24|FESTO       |

HHSENS_SQ107    |NBB5-18GM60-A2-V1 |SENSORE DI PROSSIMITA`M18 24V PNP NA+NC |PEPPERL+FUCH|

HHSENS_SQ108    |NBB1,5-8GM50-A2-V1|SENSORE DI PROSSIMITA`M8 24V PNP NA+NC  |PEPPERL+FUCH|

HHSENS_SQ109    |IG5339-IG30005BPKG|SENS.24VDC PNP ESECUZ.SPECIALE CAVO 6MT |IFM         |

HHSENS_SQ110    |Y92E-B8           |SUPPORTO PER SENSORI M8                 |OMRON       |

HHSENS_SQ111    |Y92E-B18          |SUPPORTO PER SENSORI M18                |OMRON       |

HHSENS_SQ112    |161775            |SENSORE MAGNETICO PER CILINDRI INOX     |FESTO       |

HHSENS_SQ113    |164581            |SUPPORTO SENSORE PER CILINDRI INOX D.12 |FESTO       |

HHSENS_SQ114    |D-C73CN           |SENS.MAGN.A FASCIA PER CILINDRI CONNETT.|S.M.C.      |

HHSENS_SQ115    |D-Y7PL            |SENSORE MAGNETICO PER CILINDRI CAVO 3M. |S.M.C.      |

HHSENS_SQ116    |D-F9PL            |SENSORE MAGNETICO PER CILINDRI CAVO 3M. |S.M.C.      |

HHSENS_SQ117    |IGS204            |PROXIMITY M18 24VDC A CONNETTORE M12    |IFM         |

HHSENS_SQ118    |440H-S34029       |FINECORSA SICUR.A CAMME 1NO+1NC CONN.M12|GUARDMASTER |

